dominant_peer_ratio,seed,policy_id,total_requests,mean_latency_ms,migration_count,self_service_fraction,mean_remote_rtt_ms,total_served_ms,total_migration_rtt_ms,combined_ms_alpha1
0.85,29,proposed_d0.0,3063,40.021238,152,0.619980,100.050733,122585.053052,15198.048292,137783.101344
0.85,29,proposed_d0.25,3063,46.217530,150,0.557297,99.880747,141564.293369,15012.310960,156576.604329
0.85,29,proposed_d1.0,3063,52.800116,150,0.491675,99.936260,161726.756691,15012.310960,176739.067651
0.85,29,lowest_rtt_w10,3063,34.322880,389,0.498857,64.498360,105130.982967,17285.664137,122416.647104
0.85,29,lowest_rtt_w20,3063,47.387338,344,0.281423,63.162842,145147.416173,15846.350164,160993.766337
0.85,29,lowest_rtt_w50,3063,61.604813,191,0.122755,67.945494,188695.542876,11910.231663,200605.774539
0.85,29,lowest_rtt_w100,3063,72.349879,81,0.067581,75.448767,221607.679340,5119.474497,226727.153837
0.85,29,oracle_a1,3063,9.313420,603,0.807378,37.967807,28527.005919,16726.055738,45253.061657
0.85,30,static,2933,104.925531,0,0.041255,107.354404,307746.583710,0.000000,307746.583710
0.85,30,nearest,2933,98.042951,12,0.058302,101.989129,287559.975434,1199.928233,288759.903667
0.85,30,proposed_d0.0,2933,47.753788,152,0.606546,116.287574,140061.860292,18289.845370,158351.705662
0.85,30,proposed_d0.25,2933,55.383295,150,0.541425,116.411304,162439.203261,18218.700824,180657.904085
0.85,30,proposed_d1.0,2933,62.911282,150,0.480395,117.226240,184518.790133,18218.700824,202737.490957
0.85,30,lowest_rtt_w10,2933,40.377978,377,0.506648,77.790331,118428.608273,18622.593041,137051.201314
0.85,30,lowest_rtt_w20,2933,56.613118,325,0.261507,73.952113,166046.276036,17060.634669,183106.910705
0.85,30,lowest_rtt_w50,2933,66.249605,174,0.069212,69.027140,194310.092268,16731.518211,211041.610479
0.85,30,lowest_rtt_w100,2933,81.015831,111,0.078759,85.771071,237619.433215,9374.210479,246993.643694
0.85,30,oracle_a1,2933,11.501288,521,0.817252,51.991188,33733.276729,20067.909033,53801.185762
0.7,1,static,3072,93.298614,0,0.052083,96.315021,286613.342342,0.000000,286613.342342
0.7,1,nearest,3072,96.123357,25,0.048503,98.921298,295290.952681,4199.591890,299490.544571
0.7,1,proposed_d0.0,3072,47.475798,167,0.509766,92.763382,145845.652964,14551.510853,160397.163817
0.7,1,proposed_d0.25,3072,51.780539,155,0.460286,92.235111,159069.814580,13445.005432,172514.820012
0.7,1,proposed_d1.0,3072,56.422420,151,0.404297,91.358293,173329.675505,12965.485513,186295.161018
0.7,1,lowest_rtt_w10,3072,45.945868,611,0.340495,66.634604,141145.707370,30151.043609,171296.750979
0.7,1,lowest_rtt_w20,3072,53.763900,425,0.246745,68.720269,165162.702137,21024.783795,186187.485932
0.7,1,lowest_rtt_w50,3072,64.955218,228,0.114583,71.102363,199542.428466,13393.568255,212935.996721
0.7,1,lowest_rtt_w100,3072,71.231630,142,0.153646,81.799834,218823.568619,8721.265195,227544.833814
0.7,1,oracle_a1,3072,15.017813,976,0.634766,35.642354,46134.721276,25335.098090,71469.819366
0.7,2,static,3076,97.007522,0,0.052666,100.289341,298395.138367,0.000000,298395.138367
0.7,2,nearest,3076,89.320875,5,0.048440,91.765975,274751.010166,505.132572,275256.142738
0.7,2,proposed_d0.0,3076,54.936778,168,0.514304,108.991653,168985.529695,19018.359438,188003.889133
0.7,2,proposed_d0.25,3076,61.568512,157,0.455137,109.327413,189384.743721,18071.996478,207456.740199
0.7,2,proposed_d1.0,3076,66.346487,154,0.407347,108.573667,204081.795515,17754.399728,221836.195243
0.7,2,lowest_rtt_w10,3076,50.735441,588,0.338752,73.702171,156062.215232,30214.345291,186276.560523
0.7,2,lowest_rtt_w20,3076,61.334871,457,0.209363,75.046901,188666.063081,22749.962225,211416.025306
0.7,2,lowest_rtt_w50,3076,66.098163,226,0.065995,68.627202,203317.950772,13291.753790,216609.704562
0.7,2,lowest_rtt_w100,3076,70.361757,114,0.042263,71.378399,216432.763141,5509.232656,221941.995797
0.7,2,oracle_a1,3076,15.558655,961,0.645644,38.262773,47858.422483,26758.704767,74617.127250
0.7,3,static,2993,95.426920,0,0.050451,98.390841,285612.770548,0.000000,285612.770548
0.7,3,nearest,2993,90.930599,5,0.055463,94.152558,272155.282061,366.621124,272521.903185
0.7,3,proposed_d0.0,2993,53.685799,162,0.496826,102.719520,160681.596644,17376.952789,178058.549433
0.7,3,proposed_d0.25,2993,58.932757,158,0.447711,103.085143,176385.740927,16871.341401,193257.082328
0.7,3,proposed_d1.0,2993,63.883240,155,0.401270,103.357442,191202.535953,16396.235403,207598.771356
0.7,3,lowest_rtt_w10,2993,52.387942,581,0.337454,76.051996,156797.109045,32594.854336,189391.963381
0.7,3,lowest_rtt_w20,2993,63.639267,441,0.223856,79.417274,190472.327245,27088.458010,217560.785255
0.7,3,lowest_rtt_w50,2993,74.805045,262,0.091881,80.171265,223891.499457,18454.250702,242345.750159
0.7,3,lowest_rtt_w100,2993,86.828687,199,0.077514,91.956632,259878.261569,13409.478666,273287.740235
0.7,3,oracle_a1,2993,16.342900,899,0.642165,40.082447,48914.300296,26499.199933,75413.500229
0.7,4,static,2947,101.990230,0,0.052596,105.541264,300565.208901,0.000000,300565.208901
0.7,4,nearest,2947,99.189437,4,0.048863,102.182401,292311.271301,350.263260,292661.534561
0.7,4,proposed_d0.0,2947,54.144022,156,0.503224,104.964776,159562.432523,17465.069512,177027.502035
0.7,4,proposed_d0.25,2947,59.297326,152,0.458432,105.799010,174749.219336,16965.251910,191714.471246
0.7,4,proposed_d1.0,2947,63.949452,152,0.416695,106.204209,188459.034661,16965.251910,205424.286571
0.7,4,lowest_rtt_w10,2947,50.675099,572,0.330845,72.741135,149339.517977,29754.869075,179094.387052
0.7,4,lowest_rtt_w20,2947,62.228417,428,0.202918,75.561152,183387.145606,22693.778787,206080.924393
0.7,4,lowest_rtt_w50,2947,77.323113,270,0.053614,79.590252,227871.214183,19458.799196,247330.013379
0.7,4,lowest_rtt_w100,2947,85.948533,174,0.063454,89.636350,253290.327279,13406.886397,266697.213676
