sweep,knob_name,knob_value,policy_id,n_seeds,total_served_ms_mean,total_migration_rtt_ms_mean,mean_migration_rtt_ms_mean,migration_count_mean,migration_bytes_total_mean,mean_migration_bytes_per_migration_mean,combined_ms_alpha0.5_mean,combined_ms_alpha0.5_std,combined_ms_alpha1_mean,combined_ms_alpha1_std,combined_ms_alpha2_mean,combined_ms_alpha2_std
ambiguity,dominant_peer_ratio,0.3,engagement_g00_d2.0,30,283534.439338,18984.204454,105.732991,179.533333,735368.533333,4096.000000,293026.541565,11905.138435,302518.643792,12367.258010,321502.848247,13360.847679
ambiguity,dominant_peer_ratio,0.3,engagement_g00_d5.0,30,301749.811908,9519.872064,106.924621,89.000000,364544.000000,4096.000000,306509.747940,16295.686896,311269.683972,16729.371385,320789.556036,17622.238095
ambiguity,dominant_peer_ratio,0.3,engagement_g05_d0.0,30,292207.283163,7172.288505,103.795607,69.200000,283443.200000,4096.000000,295793.427415,14429.944000,299379.571668,14698.506208,306551.860173,15257.979889
ambiguity,dominant_peer_ratio,0.3,engagement_g05_d0.25,30,292760.143386,6727.158265,104.414116,64.566667,264465.066667,4096.000000,296123.722518,14727.431503,299487.301651,14957.599594,306214.459916,15432.167408
ambiguity,dominant_peer_ratio,0.3,engagement_g05_d0.5,30,292942.209948,6642.099420,104.376331,63.766667,261188.266667,4096.000000,296263.259658,14757.520376,299584.309368,14974.169259,306226.408789,15421.903059
ambiguity,dominant_peer_ratio,0.3,engagement_g05_d1.0,30,293561.049283,6464.791847,103.991453,62.266667,255044.266667,4096.000000,296793.445206,15001.305397,300025.841129,15226.388489,306490.632976,15692.457140
ambiguity,dominant_peer_ratio,0.3,engagement_g05_d10.0,30,306397.693881,148.779736,92.415950,1.500000,6144.000000,4096.000000,306472.083749,17535.411682,306546.473617,17542.739465,306695.253354,17558.316950
ambiguity,dominant_peer_ratio,0.3,engagement_g05_d2.0,30,295444.796943,5890.976026,104.105835,56.666667,232106.666667,4096.000000,298390.284956,14901.507703,301335.772969,15107.125942,307226.748995,15532.920459
ambiguity,dominant_peer_ratio,0.3,engagement_g05_d5.0,30,302409.188665,2914.991225,104.036136,28.066667,114961.066667,4096.000000,303866.684277,15565.330080,305324.179890,15655.005872,308239.171114,15843.693549
ambiguity,dominant_peer_ratio,0.3,naive_target_aware,30,265033.622702,58473.429750,104.594244,558.766667,2288708.266667,4096.000000,294270.337577,11584.219774,323507.052452,13342.457306,381980.482202,17209.178020
ambiguity,dominant_peer_ratio,0.3,nearest,30,301932.529743,1315.130190,99.477918,12.566667,51473.066667,4096.000000,302590.094838,21492.251725,303247.659933,21584.806691,304562.790123,21851.275194
ambiguity,dominant_peer_ratio,0.3,oracle_a0.5,30,47663.562163,89001.624999,39.439028,2257.133333,9245218.133333,4096.000000,92164.374662,6275.035389,136665.187161,10973.294373,225666.812160,20705.494880
ambiguity,dominant_peer_ratio,0.3,oracle_a1,30,79289.285241,41302.000782,27.660337,1499.666667,6142634.666667,4096.000000,99940.285632,7358.106924,120591.286023,8993.793710,161893.286806,12577.634750
ambiguity,dominant_peer_ratio,0.3,oracle_a2,30,106921.930308,21259.700375,22.102527,971.266667,3978308.266667,4096.000000,117551.780495,9385.597754,128181.630683,9857.699939,149441.331058,10994.713506
ambiguity,dominant_peer_ratio,0.3,static,30,305950.698831,0.000000,,0.000000,0.000000,,305950.698831,19570.568166,305950.698831,19570.568166,305950.698831,19570.568166
ambiguity,dominant_peer_ratio,0.4,engagement_g00_d0.0,30,237376.031775,39808.578709,104.112658,382.466667,1566583.466667,4096.000000,257280.321130,9743.478228,277184.610484,10644.877752,316993.189193,12609.018709
ambiguity,dominant_peer_ratio,0.4,engagement_g00_d0.25,30,245368.596240,25425.208762,105.993658,239.800000,982220.800000,4096.000000,258081.200622,10836.768826,270793.805003,11619.742712,296219.013765,13274.332970
ambiguity,dominant_peer_ratio,0.4,engagement_g00_d0.5,30,247960.311825,23523.913818,106.247210,221.233333,906171.733333,4096.000000,259722.268734,11153.093227,271484.225644,11944.521013,295008.139462,13628.397382
ambiguity,dominant_peer_ratio,0.4,engagement_g00_d1.0,30,253247.136295,20861.325535,106.284243,196.066667,803089.066667,4096.000000,263677.799062,11367.590253,274108.461830,12112.175760,294969.787366,13691.943855
ambiguity,dominant_peer_ratio,0.4,engagement_g00_d10.0,30,307328.446452,3114.773977,104.506595,29.866667,122333.866667,4096.000000,308885.833441,14441.966031,310443.220430,14464.922864,313557.994407,14524.560895
ambiguity,dominant_peer_ratio,0.4,engagement_g00_d2.0,30,265020.991416,17655.876664,106.654726,165.500000,677888.000000,4096.000000,273848.929748,11859.804819,282676.868080,12474.568951,300332.744745,13761.084916
ambiguity,dominant_peer_ratio,0.4,engagement_g00_d5.0,30,296746.412697,12724.367528,107.158456,118.766667,486468.266667,4096.000000,303108.596461,15387.039837,309470.780225,15872.480216,322195.147753,16874.606662
ambiguity,dominant_peer_ratio,0.4,engagement_g05_d0.0,30,271301.008783,12043.904735,107.088892,112.466667,460663.466667,4096.000000,277322.961150,12778.614691,283344.913517,13156.927420,295388.818252,13946.194840
ambiguity,dominant_peer_ratio,0.4,engagement_g05_d0.25,30,272088.441212,11642.122847,107.348058,108.433333,444142.933333,4096.000000,277909.502636,12787.255517,283730.564059,13161.997228,295372.686906,13941.381569
ambiguity,dominant_peer_ratio,0.4,engagement_g05_d0.5,30,272669.096336,11576.517765,107.405232,107.800000,441548.800000,4096.000000,278457.355218,12809.167767,284245.614100,13174.408260,295822.131865,13931.982666
ambiguity,dominant_peer_ratio,0.4,engagement_g05_d1.0,30,274431.421217,11354.458776,107.334061,105.800000,433356.800000,4096.000000,280108.650605,12836.946214,285785.879993,13180.289702,297140.338769,13897.794817
ambiguity,dominant_peer_ratio,0.4,engagement_g05_d10.0,30,306911.209418,506.920465,111.416133,4.600000,18841.600000,4096.000000,307164.669651,17732.358651,307418.129883,17719.582459,307925.050348,17695.920570
