sweep,knob_name,knob_value,seed,policy_id,total_requests,migration_count,total_served_ms,total_migration_rtt_ms,mean_migration_rtt_ms,migration_bytes_total,mean_migration_bytes_per_migration,combined_ms_alpha0.5,combined_ms_alpha1,combined_ms_alpha2
ambiguity,dominant_peer_ratio,0.85,2,oracle_a1,3076,620,29350.037036,18277.871871,29.480439,2539520,4096.000000,38488.972972,47627.908907,65905.780778
ambiguity,dominant_peer_ratio,0.85,2,oracle_a0.5,3076,877,20221.197696,32560.719116,37.127388,3592192,4096.000000,36501.557254,52781.916812,85342.635928
ambiguity,dominant_peer_ratio,0.85,2,oracle_a2,3076,464,37663.193296,12422.432802,26.772484,1900544,4096.000000,43874.409697,50085.626098,62508.058900
ambiguity,dominant_peer_ratio,0.85,3,static,2993,0,283696.363604,0.000000,,0,,283696.363604,283696.363604,283696.363604
ambiguity,dominant_peer_ratio,0.85,3,nearest,2993,5,272389.404699,366.621124,73.324225,20480,4096.000000,272572.715261,272756.025823,273122.646947
ambiguity,dominant_peer_ratio,0.85,3,naive_target_aware,2993,153,125636.939597,15998.377283,104.564557,626688,4096.000000,133636.128239,141635.316880,157633.694163
ambiguity,dominant_peer_ratio,0.85,3,engagement_g00_d0.0,2993,153,125636.939597,15998.377283,104.564557,626688,4096.000000,133636.128239,141635.316880,157633.694163
ambiguity,dominant_peer_ratio,0.85,3,engagement_g00_d0.25,2993,151,145593.342678,15895.546737,105.268521,618496,4096.000000,153541.116047,161488.889415,177384.436152
ambiguity,dominant_peer_ratio,0.85,3,engagement_g00_d0.5,2993,150,151940.086679,15849.586172,105.663908,614400,4096.000000,159864.879765,167789.672851,183639.259023
ambiguity,dominant_peer_ratio,0.85,3,engagement_g00_d1.0,2993,150,164759.588954,15849.586172,105.663908,614400,4096.000000,172684.382040,180609.175126,196458.761298
ambiguity,dominant_peer_ratio,0.85,3,engagement_g00_d2.0,2993,150,191479.045729,15849.586172,105.663908,614400,4096.000000,199403.838815,207328.631901,223178.218073
ambiguity,dominant_peer_ratio,0.85,3,engagement_g00_d5.0,2993,147,268126.503099,15492.991445,105.394500,602112,4096.000000,275872.998822,283619.494544,299112.485989
ambiguity,dominant_peer_ratio,0.85,3,engagement_g00_d10.0,2993,58,315648.387801,6113.008068,105.396691,237568,4096.000000,318704.891835,321761.395869,327874.403937
ambiguity,dominant_peer_ratio,0.85,3,engagement_g05_d0.0,2993,153,128622.318808,15998.377283,104.564557,626688,4096.000000,136621.507450,144620.696091,160619.073374
ambiguity,dominant_peer_ratio,0.85,3,engagement_g05_d0.25,2993,151,145906.030887,15895.546737,105.268521,618496,4096.000000,153853.804256,161801.577624,177697.124361
ambiguity,dominant_peer_ratio,0.85,3,engagement_g05_d0.5,2993,150,152012.139892,15849.586172,105.663908,614400,4096.000000,159936.932978,167861.726064,183711.312236
ambiguity,dominant_peer_ratio,0.85,3,engagement_g05_d1.0,2993,150,164817.009442,15849.586172,105.663908,614400,4096.000000,172741.802528,180666.595614,196516.181786
ambiguity,dominant_peer_ratio,0.85,3,engagement_g05_d2.0,2993,150,191479.045729,15849.586172,105.663908,614400,4096.000000,199403.838815,207328.631901,223178.218073
ambiguity,dominant_peer_ratio,0.85,3,engagement_g05_d5.0,2993,147,268126.503099,15492.991445,105.394500,602112,4096.000000,275872.998822,283619.494544,299112.485989
ambiguity,dominant_peer_ratio,0.85,3,engagement_g05_d10.0,2993,53,321693.313115,5802.156469,109.474650,217088,4096.000000,324594.391349,327495.469584,333297.626053
ambiguity,dominant_peer_ratio,0.85,3,oracle_a1,2993,570,28644.277093,18663.469329,32.742929,2334720,4096.000000,37976.011758,47307.746422,65971.215751
ambiguity,dominant_peer_ratio,0.85,3,oracle_a0.5,2993,795,19908.733762,32070.011179,40.339637,3256320,4096.000000,35943.739352,51978.744941,84048.756120
ambiguity,dominant_peer_ratio,0.85,3,oracle_a2,2993,403,36486.297898,13179.428831,32.703297,1650688,4096.000000,43076.012313,49665.726729,62845.155560
ambiguity,dominant_peer_ratio,0.85,4,static,2947,0,301991.960274,0.000000,,0,,301991.960274,301991.960274,301991.960274
ambiguity,dominant_peer_ratio,0.85,4,nearest,2947,4,291593.970468,350.263260,87.565815,16384,4096.000000,291769.102098,291944.233728,292294.496988
ambiguity,dominant_peer_ratio,0.85,4,naive_target_aware,2947,154,133370.520202,17227.235813,111.865168,630784,4096.000000,141984.138109,150597.756015,167824.991828
ambiguity,dominant_peer_ratio,0.85,4,engagement_g00_d0.0,2947,154,133370.520202,17227.235813,111.865168,630784,4096.000000,141984.138109,150597.756015,167824.991828
ambiguity,dominant_peer_ratio,0.85,4,engagement_g00_d0.25,2947,150,155404.996093,16710.922515,111.406150,614400,4096.000000,163760.457351,172115.918608,188826.841123
ambiguity,dominant_peer_ratio,0.85,4,engagement_g00_d0.5,2947,150,161317.272224,16710.922515,111.406150,614400,4096.000000,169672.733482,178028.194739,194739.117254
ambiguity,dominant_peer_ratio,0.85,4,engagement_g00_d1.0,2947,150,172352.050380,16710.922515,111.406150,614400,4096.000000,180707.511637,189062.972895,205773.895410
ambiguity,dominant_peer_ratio,0.85,4,engagement_g00_d2.0,2947,150,197920.208964,16710.922515,111.406150,614400,4096.000000,206275.670221,214631.131479,231342.053994
ambiguity,dominant_peer_ratio,0.85,4,engagement_g00_d5.0,2947,149,276111.549230,16487.665361,110.655472,610304,4096.000000,284355.381911,292599.214591,309086.879952
ambiguity,dominant_peer_ratio,0.85,4,engagement_g00_d10.0,2947,57,340463.750984,6685.460446,117.288780,233472,4096.000000,343806.481207,347149.211430,353834.671876
ambiguity,dominant_peer_ratio,0.85,4,engagement_g05_d0.0,2947,152,135978.513038,16982.589121,111.727560,622592,4096.000000,144469.807599,152961.102159,169943.691280
