dominant_peer_ratio,policy_id,n_seeds,request_imbalance_mean,request_imbalance_std
0.85,static,30,5.962831,2.216260
0.85,nearest,30,6.378925,2.209566
0.85,demand_argmax_w10_d0,30,1.290568,0.111599
0.85,demand_argmax_w5_d0,30,1.287013,0.109114
0.85,rtt_weighted_w5_d0,30,1.827975,0.364041
0.25,static,30,5.962831,2.216260
0.25,nearest,30,6.378925,2.209566
0.25,demand_argmax_w10_d0,30,1.835979,0.185107
0.25,demand_argmax_w5_d5,30,4.671877,1.270624
0.25,rtt_weighted_w100_d1,30,10.428663,4.042487
