dominant_peer_ratio,seed,policy_id,total_requests,self_service_count,self_service_rate,mean_rtt_remote_ms,mean_rtt_all_ms,measured_mean_latency_ms,predicted_mean_latency_ms,abs_error_ms,rel_error
0.85,3,engagement_g05_d0.25,2993,1645,0.549616,103.798242,46.749092,48.749092,48.749092,0.000000,0.000000
0.85,3,engagement_g05_d0.5,2993,1586,0.529903,103.785458,48.789221,50.789221,50.789221,0.000000,0.000000
0.85,3,engagement_g05_d1.0,2993,1471,0.491480,104.356774,53.067494,55.067494,55.067494,0.000000,0.000000
0.85,3,engagement_g05_d2.0,2993,1225,0.409288,104.916881,61.975625,63.975625,63.975625,0.000000,0.000000
0.85,3,engagement_g05_d5.0,2993,466,0.155697,103.735854,87.584532,89.584532,89.584532,0.000000,0.000000
0.85,3,engagement_g05_d10.0,2993,20,0.006682,106.191494,105.481895,107.481895,107.481895,0.000000,0.000000
0.85,3,oracle_a1,2993,2455,0.820247,42.115757,7.570423,9.570423,9.570423,0.000000,0.000000
0.85,4,static,2947,163,0.055310,106.357026,100.474367,102.474367,102.474367,0.000000,0.000000
0.85,4,nearest,2947,151,0.051239,102.181678,96.946037,98.946037,98.946037,0.000000,0.000000
0.85,4,naive_target_aware,2947,1786,0.606040,109.798898,43.256369,45.256369,45.256369,0.000000,0.000000
0.85,4,engagement_g00_d0.0,2947,1786,0.606040,109.798898,43.256369,45.256369,45.256369,0.000000,0.000000
0.85,4,engagement_g00_d0.25,2947,1599,0.542586,110.913202,50.733287,52.733287,52.733287,0.000000,0.000000
0.85,4,engagement_g00_d0.5,2947,1543,0.523583,110.700336,52.739488,54.739488,54.739488,0.000000,0.000000
0.85,4,engagement_g00_d1.0,2947,1443,0.489650,110.676895,56.483899,58.483899,58.483899,0.000000,0.000000
0.85,4,engagement_g00_d2.0,2947,1214,0.411944,110.805660,65.159894,67.159894,67.159894,0.000000,0.000000
0.85,4,engagement_g00_d5.0,2947,475,0.161181,109.311306,91.692416,93.692416,93.692416,0.000000,0.000000
0.85,4,engagement_g00_d10.0,2947,15,0.005090,114.109738,113.528928,115.528928,115.528928,0.000000,0.000000
0.85,4,engagement_g05_d0.0,2947,1759,0.596878,109.498748,44.141335,46.141335,46.141335,0.000000,0.000000
0.85,4,engagement_g05_d0.25,2947,1597,0.541907,110.901469,50.803184,52.803184,52.803184,0.000000,0.000000
0.85,4,engagement_g05_d0.5,2947,1541,0.522905,110.689374,52.809386,54.809386,54.809386,0.000000,0.000000
0.85,4,engagement_g05_d1.0,2947,1441,0.488972,110.662834,56.551825,58.551825,58.551825,0.000000,0.000000
0.85,4,engagement_g05_d2.0,2947,1214,0.411944,110.805660,65.159894,67.159894,67.159894,0.000000,0.000000
0.85,4,engagement_g05_d5.0,2947,475,0.161181,109.466684,91.822750,93.822750,93.822750,0.000000,0.000000
0.85,4,engagement_g05_d10.0,2947,16,0.005429,111.504286,110.898901,112.898901,112.898901,0.000000,0.000000
0.85,4,oracle_a1,2947,2338,0.793349,35.158830,7.265601,9.265601,9.265601,0.000000,0.000000
0.85,5,static,2961,175,0.059102,104.431459,98.259387,100.259387,100.259387,0.000000,0.000000
0.85,5,nearest,2961,173,0.058426,104.091894,98.010200,100.010200,100.010200,0.000000,0.000000
0.85,5,naive_target_aware,2961,1771,0.598109,112.444793,45.190579,47.190579,47.190579,0.000000,0.000000
0.85,5,engagement_g00_d0.0,2961,1771,0.598109,112.444793,45.190579,47.190579,47.190579,0.000000,0.000000
0.85,5,engagement_g00_d0.25,2961,1585,0.535292,112.653894,52.351151,54.351151,54.351151,0.000000,0.000000
0.85,5,engagement_g00_d0.5,2961,1511,0.510301,112.430739,55.057268,57.057268,57.057268,0.000000,0.000000
0.85,5,engagement_g00_d1.0,2961,1395,0.471125,112.738404,59.624566,61.624566,61.624566,0.000000,0.000000
0.85,5,engagement_g00_d2.0,2961,1153,0.389395,112.458478,68.667656,70.667656,70.667656,0.000000,0.000000
0.85,5,engagement_g00_d5.0,2961,422,0.142519,111.952131,95.996778,97.996778,97.996778,0.000000,0.000000
0.85,5,engagement_g00_d10.0,2961,37,0.012496,107.461498,106.118683,108.118683,108.118683,0.000000,0.000000
0.85,5,engagement_g05_d0.0,2961,1737,0.586626,112.789940,46.624413,48.624413,48.624413,0.000000,0.000000
0.85,5,engagement_g05_d0.25,2961,1580,0.533604,113.067330,52.734206,54.734206,54.734206,0.000000,0.000000
0.85,5,engagement_g05_d0.5,2961,1507,0.508950,112.911241,55.445101,57.445101,57.445101,0.000000,0.000000
0.85,5,engagement_g05_d1.0,2961,1392,0.470111,112.733798,59.736349,61.736349,61.736349,0.000000,0.000000
0.85,5,engagement_g05_d2.0,2961,1153,0.389395,112.458478,68.667656,70.667656,70.667656,0.000000,0.000000
0.85,5,engagement_g05_d5.0,2961,420,0.141844,111.850555,95.985228,97.985228,97.985228,0.000000,0.000000
0.85,5,engagement_g05_d10.0,2961,40,0.013509,109.006577,107.534012,109.534012,109.534012,0.000000,0.000000
0.85,5,oracle_a1,2961,2299,0.776427,41.944515,9.377666,11.377666,11.377666,0.000000,0.000000
0.85,6,static,2952,113,0.038279,103.984284,100.003855,102.003855,102.003855,0.000000,0.000000
0.85,6,nearest,2952,153,0.051829,111.673436,105.885483,107.885483,107.885483,0.000000,0.000000
0.85,6,naive_target_aware,2952,1805,0.611450,102.029482,39.643569,41.643569,41.643569,0.000000,0.000000
0.85,6,engagement_g00_d0.0,2952,1805,0.611450,102.029482,39.643569,41.643569,41.643569,0.000000,0.000000
0.85,6,engagement_g00_d0.25,2952,1601,0.542344,100.723521,46.096706,48.096706,48.096706,0.000000,0.000000
0.85,6,engagement_g00_d0.5,2952,1545,0.523374,99.719573,47.528943,49.528943,49.528943,0.000000,0.000000
0.85,6,engagement_g00_d1.0,2952,1423,0.482046,100.408078,52.006758,54.006758,54.006758,0.000000,0.000000
0.85,6,engagement_g00_d2.0,2952,1183,0.400745,99.460363,59.602094,61.602094,61.602094,0.000000,0.000000
0.85,6,engagement_g00_d5.0,2952,465,0.157520,100.135637,84.362239,86.362239,86.362239,0.000000,0.000000
0.85,6,engagement_g00_d10.0,2952,27,0.009146,104.094480,103.142396,105.142396,105.142396,0.000000,0.000000
0.85,6,engagement_g05_d0.0,2952,1764,0.597561,101.685030,40.922024,42.922024,42.922024,0.000000,0.000000
0.85,6,engagement_g05_d0.25,2952,1600,0.542005,100.713361,46.126174,48.126174,48.126174,0.000000,0.000000
0.85,6,engagement_g05_d0.5,2952,1544,0.523035,99.675963,47.541923,49.541923,49.541923,0.000000,0.000000
0.85,6,engagement_g05_d1.0,2952,1422,0.481707,100.367494,52.019738,54.019738,54.019738,0.000000,0.000000
0.85,6,engagement_g05_d2.0,2952,1183,0.400745,99.460363,59.602094,61.602094,61.602094,0.000000,0.000000
0.85,6,engagement_g05_d5.0,2952,465,0.157520,99.772740,84.056506,86.056506,86.056506,0.000000,0.000000
0.85,6,engagement_g05_d10.0,2952,22,0.007453,102.121612,101.360543,103.360543,103.360543,0.000000,0.000000
0.85,6,oracle_a1,2952,2310,0.782520,34.165438,7.430288,9.430288,9.430288,0.000000,0.000000
0.85,7,static,2971,170,0.057220,117.780855,111.041459,113.041459,113.041459,0.000000,0.000000
0.85,7,nearest,2971,181,0.060922,110.498738,103.766907,105.766907,105.766907,0.000000,0.000000
0.85,7,naive_target_aware,2971,1817,0.611579,107.170079,41.627153,43.627153,43.627153,0.000000,0.000000
0.85,7,engagement_g00_d0.0,2971,1817,0.611579,107.170079,41.627153,43.627153,43.627153,0.000000,0.000000
0.85,7,engagement_g00_d0.25,2971,1619,0.544934,106.674938,48.544098,50.544098,50.544098,0.000000,0.000000
0.85,7,engagement_g00_d0.5,2971,1562,0.525749,106.877568,50.686803,52.686803,52.686803,0.000000,0.000000
