dominant_peer_ratio,seed,total_requests,oracle_mean_latency_ms,online_mean_latency_ms,agree_oracle_demand_count,agree_oracle_demand_rate,agree_oracle_median_count,agree_oracle_median_rate,agree_demand_median_count,agree_demand_median_rate,oracle_self_service_count,oracle_self_service_rate,total_latency_advantage_ms,self_service_advantage_ms,remote_advantage_ms,self_service_advantage_fraction
0.3,28,3014,25.087881,89.865312,518,0.171865,978,0.324486,342,0.113470,837,0.277704,195239.178826,56218.149743,139021.029083,0.287945
0.3,29,3063,24.897032,83.299322,626,0.204375,957,0.312439,577,0.188377,801,0.261508,178886.215975,44304.068974,134582.147001,0.247666
0.3,30,2933,31.390524,95.558347,628,0.214115,813,0.277191,525,0.178998,907,0.309240,188204.225568,63119.436546,125084.789022,0.335377
0.25,1,3072,25.703907,85.000554,551,0.179362,779,0.253581,514,0.167318,893,0.290690,182159.300283,55830.569678,126328.730605,0.306493
0.25,2,3076,27.912219,93.323234,524,0.170351,892,0.289987,449,0.145969,849,0.276008,201204.281267,59157.680465,142046.600802,0.294018
0.25,3,2993,28.047258,91.735575,531,0.177414,709,0.236886,520,0.173739,896,0.299365,190619.132821,61447.242012,129171.890809,0.322356
0.25,4,2947,24.480414,90.415417,510,0.173057,665,0.225653,386,0.130981,819,0.277910,194310.454054,59537.784905,134772.669149,0.306405
0.25,5,2961,27.233132,94.829212,505,0.170550,615,0.207700,479,0.161770,865,0.292131,200151.993961,62855.445538,137296.548423,0.314039
0.25,6,2952,25.543995,89.713271,508,0.172087,804,0.272358,517,0.175136,825,0.279472,189427.702346,56468.301894,132959.400452,0.298099
0.25,7,2971,32.221926,99.649205,489,0.164591,743,0.250084,398,0.133962,951,0.320094,200326.447708,76748.897246,123577.550462,0.383119
0.25,8,2983,27.421539,91.675526,492,0.164935,947,0.317466,255,0.085484,761,0.255112,191669.642008,49524.304919,142145.337089,0.258384
0.25,9,2932,26.761416,91.010245,521,0.177694,660,0.225102,471,0.160641,857,0.292292,188377.565624,59532.822159,128844.743465,0.316029
0.25,10,3006,29.627710,92.563110,536,0.178310,804,0.267465,375,0.124750,901,0.299734,189183.813537,64687.760995,124496.052542,0.341931
0.25,11,3002,27.067685,91.956048,560,0.186542,722,0.240506,579,0.192871,840,0.279813,194794.865784,57463.921466,137330.944318,0.294997
0.25,12,3026,25.346942,93.043868,434,0.143424,711,0.234964,413,0.136484,757,0.250165,204850.899022,52927.640807,151923.258215,0.258372
0.25,13,3014,26.283562,89.471915,512,0.169874,748,0.248175,462,0.153285,870,0.288653,190449.697523,61234.504488,129215.193035,0.321526
0.25,14,3050,30.287395,98.311348,513,0.168197,692,0.226885,539,0.176721,888,0.291148,207473.056686,71778.445249,135694.611437,0.345965
0.25,15,3022,28.162006,92.417172,542,0.179351,730,0.241562,320,0.105890,956,0.316347,194179.112546,68470.066642,125709.045904,0.352613
0.25,16,3097,24.595990,88.039463,590,0.190507,794,0.256377,565,0.182435,973,0.314175,196484.436556,63229.553354,133254.883202,0.321804
0.25,17,2945,27.919699,88.520778,531,0.180306,769,0.261121,330,0.112054,831,0.282173,178470.177851,54278.727834,124191.450017,0.304133
0.25,18,3040,24.597733,93.185016,503,0.165461,676,0.222368,532,0.175000,827,0.272039,208505.340906,58388.980846,150116.360060,0.280036
0.25,19,2979,25.326441,96.884057,422,0.141658,815,0.273582,285,0.095670,748,0.251091,213170.138054,56765.348381,156404.789673,0.266291
0.25,20,3045,29.448732,93.149687,532,0.174713,796,0.261412,482,0.158292,932,0.306076,193969.409109,67428.641389,126540.767720,0.347625
0.25,21,3058,28.023923,91.751716,550,0.179856,764,0.249836,457,0.149444,872,0.285154,194879.592521,60412.164489,134467.428032,0.309997
0.25,22,3009,25.784865,95.872424,444,0.147557,723,0.240279,411,0.136590,788,0.261881,210893.464074,59865.408878,151028.055196,0.283866
0.25,23,3060,26.287112,89.392210,591,0.193137,764,0.249673,426,0.139216,993,0.324510,193101.599607,67302.489125,125799.110482,0.348534
0.25,24,2894,28.019834,92.355815,523,0.180719,697,0.240843,394,0.136144,996,0.344160,186188.330375,74459.413444,111728.916931,0.399915
0.25,25,2903,27.225742,92.248656,540,0.186014,727,0.250431,441,0.151912,931,0.320703,188761.517608,69034.067287,119727.450321,0.365721
0.25,26,3057,27.084175,98.765474,491,0.160615,749,0.245011,484,0.158325,823,0.269218,219129.728290,64268.193032,154861.535258,0.293288
0.25,27,2968,27.488277,93.721981,516,0.173854,746,0.251348,479,0.161388,909,0.306267,196581.631787,67337.113855,129244.517932,0.342540
0.25,28,3014,24.988265,93.607081,449,0.148971,891,0.295620,264,0.087591,815,0.270405,206817.111395,56432.374945,150384.736450,0.272861
0.25,29,3063,25.816950,89.616069,493,0.160953,943,0.307868,490,0.159974,718,0.234411,195416.701436,48023.570936,147393.130500,0.245750
0.25,30,2933,31.981159,99.840728,521,0.177634,816,0.278213,507,0.172861,849,0.289465,199032.115396,64981.629626,134050.485770,0.326488
