relevant_range,seed,policy_id,total_requests,mean_latency_ms,p95_latency_ms,migration_count,max_requests_per_peer,request_imbalance
75.0,3,naive_target_aware,2993,91.735575,191.730185,693,258,1.724023
75.0,3,engagement_g05_d0.0,2993,94.745132,188.906630,75,340,2.271968
75.0,3,engagement_g05_d2.0,2993,95.271936,186.923839,70,356,2.378884
75.0,3,oracle_a1,2993,28.047258,69.951973,1502,548,3.661878
75.0,4,static,2947,102.172693,193.598701,0,606,4.112657
75.0,4,nearest,2947,85.051521,191.198623,245,194,1.316593
75.0,4,naive_target_aware,2947,90.415417,191.198623,675,236,1.601629
75.0,4,engagement_g05_d0.0,2947,94.440830,193.697416,94,279,1.893451
75.0,4,engagement_g05_d2.0,2947,94.247030,193.697416,90,275,1.866305
75.0,4,oracle_a1,2947,24.480414,65.119678,1639,351,2.382083
75.0,5,static,2961,102.818680,187.323161,0,1225,8.274232
75.0,5,nearest,2961,87.353398,187.743898,256,182,1.229314
75.0,5,naive_target_aware,2961,94.829212,187.743898,671,267,1.803445
75.0,5,engagement_g05_d0.0,2961,97.825892,187.323161,82,282,1.904762
75.0,5,engagement_g05_d2.0,2961,97.983413,187.323161,80,264,1.783181
75.0,5,oracle_a1,2961,27.233132,70.075539,1529,408,2.755826
30.0,1,static,3072,93.946974,184.634696,0,1224,7.968750
30.0,1,nearest,3072,81.609387,188.415484,255,187,1.217448
30.0,1,naive_target_aware,3072,85.000554,188.415484,684,282,1.835938
30.0,1,engagement_g05_d0.0,3072,87.366484,188.415484,145,252,1.640625
30.0,1,engagement_g05_d2.0,3072,87.762474,188.974578,142,252,1.640625
30.0,1,oracle_a1,3072,25.703907,61.303580,1625,529,3.444010
30.0,2,static,3076,97.531688,187.852690,0,1260,8.192458
30.0,2,nearest,3076,84.572780,191.478106,223,196,1.274382
30.0,2,naive_target_aware,3076,93.323234,190.464828,709,329,2.139142
30.0,2,engagement_g05_d0.0,3076,91.306350,195.394846,162,206,1.339402
30.0,2,engagement_g05_d2.0,3076,91.159857,195.394846,162,214,1.391417
30.0,2,oracle_a1,3076,27.912219,70.904515,1552,589,3.829649
30.0,3,static,2993,94.831109,186.923839,0,620,4.143000
30.0,3,nearest,2993,84.344152,185.560987,230,181,1.209489
30.0,3,naive_target_aware,2993,91.735575,191.730185,693,258,1.724023
30.0,3,engagement_g05_d0.0,2993,91.765110,186.923839,142,211,1.409957
30.0,3,engagement_g05_d2.0,2993,91.910263,186.923839,141,213,1.423321
30.0,3,oracle_a1,2993,28.047258,69.951973,1502,548,3.661878
30.0,4,static,2947,102.172693,193.598701,0,606,4.112657
30.0,4,nearest,2947,85.051521,191.198623,245,194,1.316593
30.0,4,naive_target_aware,2947,90.415417,191.198623,675,236,1.601629
30.0,4,engagement_g05_d0.0,2947,89.374165,193.368367,152,236,1.601629
30.0,4,engagement_g05_d2.0,2947,89.283519,193.368367,150,236,1.601629
30.0,4,oracle_a1,2947,24.480414,65.119678,1639,351,2.382083
30.0,5,static,2961,102.818680,187.323161,0,1225,8.274232
30.0,5,nearest,2961,87.353398,187.743898,256,182,1.229314
30.0,5,naive_target_aware,2961,94.829212,187.743898,671,267,1.803445
30.0,5,engagement_g05_d0.0,2961,93.945166,187.743898,149,206,1.391422
30.0,5,engagement_g05_d2.0,2961,94.427577,187.743898,146,205,1.384667
30.0,5,oracle_a1,2961,27.233132,70.075539,1529,408,2.755826
8.0,1,static,3072,93.946974,184.634696,0,1224,7.968750
8.0,1,nearest,3072,81.609387,188.415484,255,187,1.217448
8.0,1,naive_target_aware,3072,85.000554,188.415484,684,282,1.835938
8.0,1,engagement_g05_d0.0,3072,80.849415,188.415484,168,197,1.282552
8.0,1,engagement_g05_d2.0,3072,80.849415,188.415484,168,197,1.282552
8.0,1,oracle_a1,3072,25.703907,61.303580,1625,529,3.444010
8.0,2,static,3076,97.531688,187.852690,0,1260,8.192458
8.0,2,nearest,3076,84.572780,191.478106,223,196,1.274382
8.0,2,naive_target_aware,3076,93.323234,190.464828,709,329,2.139142
8.0,2,engagement_g05_d0.0,3076,85.486145,191.712240,167,206,1.339402
8.0,2,engagement_g05_d2.0,3076,85.486145,191.712240,167,206,1.339402
8.0,2,oracle_a1,3076,27.912219,70.904515,1552,589,3.829649
8.0,3,static,2993,94.831109,186.923839,0,620,4.143000
8.0,3,nearest,2993,84.344152,185.560987,230,181,1.209489
8.0,3,naive_target_aware,2993,91.735575,191.730185,693,258,1.724023
8.0,3,engagement_g05_d0.0,2993,84.857315,185.560987,164,183,1.222853
8.0,3,engagement_g05_d2.0,2993,84.857315,185.560987,164,183,1.222853
8.0,3,oracle_a1,2993,28.047258,69.951973,1502,548,3.661878
8.0,4,static,2947,102.172693,193.598701,0,606,4.112657
8.0,4,nearest,2947,85.051521,191.198623,245,194,1.316593
8.0,4,naive_target_aware,2947,90.415417,191.198623,675,236,1.601629
8.0,4,engagement_g05_d0.0,2947,86.447148,191.198623,167,207,1.404818
8.0,4,engagement_g05_d2.0,2947,86.447148,191.198623,167,207,1.404818
8.0,4,oracle_a1,2947,24.480414,65.119678,1639,351,2.382083
8.0,5,static,2961,102.818680,187.323161,0,1225,8.274232
8.0,5,nearest,2961,87.353398,187.743898,256,182,1.229314
8.0,5,naive_target_aware,2961,94.829212,187.743898,671,267,1.803445
8.0,5,engagement_g05_d0.0,2961,87.368141,187.743898,173,192,1.296859
8.0,5,engagement_g05_d2.0,2961,87.368141,187.743898,173,192,1.296859
8.0,5,oracle_a1,2961,27.233132,70.075539,1529,408,2.755826
3.0,1,static,3072,93.946974,184.634696,0,1224,7.968750
3.0,1,nearest,3072,81.609387,188.415484,255,187,1.217448
3.0,1,naive_target_aware,3072,85.000554,188.415484,684,282,1.835938
3.0,1,engagement_g05_d0.0,3072,89.136775,188.415484,101,304,1.979167
3.0,1,engagement_g05_d2.0,3072,89.136775,188.415484,101,304,1.979167
3.0,1,oracle_a1,3072,25.703907,61.303580,1625,529,3.444010
3.0,2,static,3076,97.531688,187.852690,0,1260,8.192458
3.0,2,nearest,3076,84.572780,191.478106,223,196,1.274382
3.0,2,naive_target_aware,3076,93.323234,190.464828,709,329,2.139142
3.0,2,engagement_g05_d0.0,3076,93.948309,193.035682,96,334,2.171651
3.0,2,engagement_g05_d2.0,3076,93.948309,193.035682,96,334,2.171651
3.0,2,oracle_a1,3076,27.912219,70.904515,1552,589,3.829649
3.0,3,static,2993,94.831109,186.923839,0,620,4.143000
3.0,3,nearest,2993,84.344152,185.560987,230,181,1.209489
3.0,3,naive_target_aware,2993,91.735575,191.730185,693,258,1.724023
3.0,3,engagement_g05_d0.0,2993,91.343050,188.906630,103,242,1.617107
3.0,3,engagement_g05_d2.0,2993,91.343050,188.906630,103,242,1.617107
3.0,3,oracle_a1,2993,28.047258,69.951973,1502,548,3.661878
3.0,4,static,2947,102.172693,193.598701,0,606,4.112657
3.0,4,nearest,2947,85.051521,191.198623,245,194,1.316593
3.0,4,naive_target_aware,2947,90.415417,191.198623,675,236,1.601629
3.0,4,engagement_g05_d0.0,2947,91.602235,191.471346,104,226,1.533763
3.0,4,engagement_g05_d2.0,2947,91.602235,191.471346,104,226,1.533763
3.0,4,oracle_a1,2947,24.480414,65.119678,1639,351,2.382083
3.0,5,static,2961,102.818680,187.323161,0,1225,8.274232
3.0,5,nearest,2961,87.353398,187.743898,256,182,1.229314
3.0,5,naive_target_aware,2961,94.829212,187.743898,671,267,1.803445
3.0,5,engagement_g05_d0.0,2961,96.977728,188.688177,104,290,1.958798
3.0,5,engagement_g05_d2.0,2961,96.977728,188.688177,104,290,1.958798
3.0,5,oracle_a1,2961,27.233132,70.075539,1529,408,2.755826
0.3,1,static,3072,93.946974,184.634696,0,1224,7.968750
0.3,1,nearest,3072,81.609387,188.415484,255,187,1.217448
0.3,1,naive_target_aware,3072,85.000554,188.415484,684,282,1.835938
0.3,1,engagement_g05_d0.0,3072,88.884045,183.781753,11,552,3.593750
0.3,1,engagement_g05_d2.0,3072,88.884045,183.781753,11,552,3.593750
0.3,1,oracle_a1,3072,25.703907,61.303580,1625,529,3.444010
0.3,2,static,3076,97.531688,187.852690,0,1260,8.192458
0.3,2,nearest,3076,84.572780,191.478106,223,196,1.274382
0.3,2,naive_target_aware,3076,93.323234,190.464828,709,329,2.139142
0.3,2,engagement_g05_d0.0,3076,100.198301,191.478106,15,690,4.486346
0.3,2,engagement_g05_d2.0,3076,100.198301,191.478106,15,690,4.486346
0.3,2,oracle_a1,3076,27.912219,70.904515,1552,589,3.829649
0.3,3,static,2993,94.831109,186.923839,0,620,4.143000
0.3,3,nearest,2993,84.344152,185.560987,230,181,1.209489
0.3,3,naive_target_aware,2993,91.735575,191.730185,693,258,1.724023
0.3,3,engagement_g05_d0.0,2993,98.088881,191.730185,10,589,3.935850
0.3,3,engagement_g05_d2.0,2993,98.088881,191.730185,10,589,3.935850
0.3,3,oracle_a1,2993,28.047258,69.951973,1502,548,3.661878
0.3,4,static,2947,102.172693,193.598701,0,606,4.112657
0.3,4,nearest,2947,85.051521,191.198623,245,194,1.316593
0.3,4,naive_target_aware,2947,90.415417,191.198623,675,236,1.601629
0.3,4,engagement_g05_d0.0,2947,102.591671,196.213056,7,606,4.112657
0.3,4,engagement_g05_d2.0,2947,102.591671,196.213056,7,606,4.112657
0.3,4,oracle_a1,2947,24.480414,65.119678,1639,351,2.382083
0.3,5,static,2961,102.818680,187.323161,0,1225,8.274232
0.3,5,nearest,2961,87.353398,187.743898,256,182,1.229314
0.3,5,naive_target_aware,2961,94.829212,187.743898,671,267,1.803445
0.3,5,engagement_g05_d0.0,2961,100.207668,187.323161,13,651,4.397163
0.3,5,engagement_g05_d2.0,2961,100.207668,187.323161,13,651,4.397163
0.3,5,oracle_a1,2961,27.233132,70.075539,1529,408,2.755826
