dominant_peer_ratio,policy_id,selector,theta_d,window_size,n_seeds,combined_s_alpha1_mean,combined_s_alpha1_std,mean_latency_ms_mean,migration_count_mean
0.4,demand_argmax_w20_d0.25,demand_argmax,0.25,20,30,283.813728,12.872515,88.556729,168.733333
0.4,demand_argmax_w20_d0.5,demand_argmax,0.5,20,30,286.231510,12.805472,89.522223,164.366667
0.4,demand_argmax_w20_d1,demand_argmax,1.0,20,30,290.988904,13.504161,91.345169,157.833333
0.4,demand_argmax_w20_d2,demand_argmax,2.0,20,30,300.124466,14.473757,94.655012,149.933333
0.4,demand_argmax_w20_d5,demand_argmax,5.0,20,30,319.661722,15.569529,101.833248,129.666667
0.4,demand_argmax_w20_d10,demand_argmax,10.0,20,30,314.863539,17.271252,102.781377,59.966667
0.4,demand_argmax_w30_d0,demand_argmax,0.0,30,30,299.322446,13.937876,93.337458,178.533333
0.4,demand_argmax_w30_d0.25,demand_argmax,0.25,30,30,302.589492,14.307231,95.433011,150.433333
0.4,demand_argmax_w30_d0.5,demand_argmax,0.5,30,30,304.154034,14.589371,96.071815,147.433333
0.4,demand_argmax_w30_d1,demand_argmax,1.0,30,30,308.042380,14.866351,97.552662,141.800000
0.4,demand_argmax_w30_d2,demand_argmax,2.0,30,30,313.690688,14.870540,99.661699,134.933333
0.4,demand_argmax_w30_d5,demand_argmax,5.0,30,30,321.946854,16.076522,103.036178,116.866667
0.4,demand_argmax_w30_d10,demand_argmax,10.0,30,30,316.671950,16.893445,103.040093,68.466667
0.4,demand_argmax_w100_d0,demand_argmax,0.0,100,30,313.638632,17.411461,100.249452,119.833333
0.4,demand_argmax_w100_d0.25,demand_argmax,0.25,100,30,312.845261,17.535969,100.735757,97.600000
0.4,demand_argmax_w100_d0.5,demand_argmax,0.5,100,30,312.927832,17.622819,100.942892,92.833333
0.4,demand_argmax_w100_d1,demand_argmax,1.0,100,30,313.059279,17.300520,101.241460,85.833333
0.4,demand_argmax_w100_d2,demand_argmax,2.0,100,30,313.315899,17.024396,101.701110,75.600000
0.4,demand_argmax_w100_d5,demand_argmax,5.0,100,30,312.774099,16.099599,102.122032,59.400000
0.4,demand_argmax_w100_d10,demand_argmax,10.0,100,30,311.986384,15.404970,102.344340,45.800000
0.4,rtt_weighted_w5_d0,rtt_weighted,0.0,5,30,317.358354,18.362111,75.900436,1298.666667
0.4,rtt_weighted_w5_d0.25,rtt_weighted,0.25,5,30,269.075077,14.558866,77.462165,504.666667
0.4,rtt_weighted_w5_d0.5,rtt_weighted,0.5,5,30,265.668003,14.230517,78.483556,407.733333
0.4,rtt_weighted_w5_d1,rtt_weighted,1.0,5,30,264.471876,14.919291,81.209066,266.266667
0.4,rtt_weighted_w5_d2,rtt_weighted,2.0,5,30,271.994727,17.023599,87.157220,122.900000
0.4,rtt_weighted_w5_d5,rtt_weighted,5.0,5,30,284.115422,16.680563,94.290190,11.966667
0.4,rtt_weighted_w5_d10,rtt_weighted,10.0,5,30,303.459995,18.481136,101.077539,0.366667
0.4,rtt_weighted_w10_d0,rtt_weighted,0.0,10,30,279.768675,16.380080,74.179781,870.466667
0.4,rtt_weighted_w10_d0.25,rtt_weighted,0.25,10,30,255.114541,14.394299,76.146933,395.233333
0.4,rtt_weighted_w10_d0.5,rtt_weighted,0.5,10,30,255.198342,13.887233,77.153545,343.933333
0.4,rtt_weighted_w10_d1,rtt_weighted,1.0,10,30,256.750194,14.836397,79.172766,265.633333
0.4,rtt_weighted_w10_d2,rtt_weighted,2.0,10,30,263.662210,17.469785,83.481334,167.733333
0.4,rtt_weighted_w10_d5,rtt_weighted,5.0,10,30,273.060656,18.528910,89.686422,44.066667
0.4,rtt_weighted_w10_d10,rtt_weighted,10.0,10,30,285.778025,20.919819,95.083897,4.166667
0.4,rtt_weighted_w20_d0,rtt_weighted,0.0,20,30,262.945225,17.313991,75.424673,559.400000
0.4,rtt_weighted_w20_d0.25,rtt_weighted,0.25,20,30,251.073073,15.739543,77.487466,275.900000
0.4,rtt_weighted_w20_d0.5,rtt_weighted,0.5,20,30,251.961924,16.142450,78.315281,250.066667
0.4,rtt_weighted_w20_d1,rtt_weighted,1.0,20,30,254.297473,16.899779,79.899708,207.100000
0.4,rtt_weighted_w20_d2,rtt_weighted,2.0,20,30,260.495344,18.053623,82.908524,156.100000
0.4,rtt_weighted_w20_d5,rtt_weighted,5.0,20,30,268.823203,20.307328,87.509293,73.866667
0.4,rtt_weighted_w20_d10,rtt_weighted,10.0,20,30,268.924022,21.230713,89.027559,19.200000
0.4,rtt_weighted_w30_d0,rtt_weighted,0.0,30,30,260.375256,19.621144,77.365699,418.400000
