comparison_type,dominant_peer_ratio,policy_a,policy_b,n_seeds,mean_diff_combined_s,bootstrap_ci95_low,bootstrap_ci95_high,verdict
demand_argmax_vs_best_baseline,0.85,demand_argmax_w10_d2,nearest,30,-89.487273,-98.994389,-80.076558,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w10_d5,nearest,30,-11.223958,-22.096254,-0.206675,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w10_d10,nearest,30,21.357037,10.991237,31.363980,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d0,nearest,30,-92.086594,-101.766236,-82.315409,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d0.25,nearest,30,-72.462777,-82.410272,-62.306709,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d0.5,nearest,30,-66.119358,-76.135714,-55.903162,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d1,nearest,30,-52.881969,-63.298366,-42.348228,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d2,nearest,30,-28.419267,-39.349975,-17.339641,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d5,nearest,30,24.795979,13.791010,36.057028,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w20_d10,nearest,30,21.587755,12.102192,31.102485,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d0,nearest,30,-34.803588,-45.602223,-23.798033,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d0.25,nearest,30,-18.852245,-29.883231,-7.670037,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d0.5,nearest,30,-13.839853,-25.037031,-2.530203,a_cheaper
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d1,nearest,30,-4.178977,-15.481266,7.307378,not_significant
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d2,nearest,30,10.993976,-0.176360,22.394513,not_significant
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d5,nearest,30,29.238464,18.759725,39.998553,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w30_d10,nearest,30,20.355006,10.581374,30.245007,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d0,nearest,30,5.676582,-3.285206,14.878543,not_significant
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d0.25,nearest,30,8.360690,-0.687419,17.628967,not_significant
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d0.5,nearest,30,9.278342,0.272811,18.495150,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d1,nearest,30,10.400210,1.394745,19.597000,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d2,nearest,30,11.922148,2.855186,21.176195,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d5,nearest,30,13.055859,4.764429,21.666945,a_worse
demand_argmax_vs_best_baseline,0.85,demand_argmax_w100_d10,nearest,30,13.512711,5.916552,21.424640,a_worse
best_demand_argmax_vs_best_baseline,0.85,demand_argmax_w5_d0,nearest,30,-187.502448,-195.598610,-179.414896,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d0,nearest,30,-115.237008,-122.290386,-108.375118,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d0.25,nearest,30,-116.698918,-123.851302,-109.499919,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d0.5,nearest,30,-112.163126,-119.480363,-104.809924,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d1,nearest,30,-99.863181,-107.289923,-92.392287,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d2,nearest,30,-65.441454,-73.801205,-57.152471,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d5,nearest,30,-8.515014,-16.600714,-0.817900,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w5_d10,nearest,30,0.518488,-7.894452,9.777811,not_significant
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d0,nearest,30,-123.365441,-130.929737,-115.758990,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d0.25,nearest,30,-117.176057,-124.753302,-109.556972,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d0.5,nearest,30,-111.957220,-119.567768,-104.267247,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d1,nearest,30,-98.816061,-106.787813,-90.753816,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d2,nearest,30,-67.153696,-75.649202,-58.684612,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d5,nearest,30,-11.091874,-20.897490,-1.566458,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w10_d10,nearest,30,-5.464751,-13.865357,2.750021,not_significant
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d0,nearest,30,-101.464906,-109.816091,-93.014853,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d0.25,nearest,30,-93.233558,-101.641570,-84.721991,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d0.5,nearest,30,-88.387733,-96.779268,-79.972147,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d1,nearest,30,-78.415134,-86.898271,-69.906142,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d2,nearest,30,-57.647374,-66.609844,-48.694324,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d5,nearest,30,-18.820345,-28.875963,-9.330861,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w20_d10,nearest,30,-13.405081,-21.761262,-5.422032,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w30_d0,nearest,30,-84.336474,-92.751247,-75.990197,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w30_d0.25,nearest,30,-78.448468,-86.805248,-70.181823,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w30_d0.5,nearest,30,-74.766134,-83.220281,-66.446018,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w30_d1,nearest,30,-67.269588,-75.786015,-59.005377,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w30_d2,nearest,30,-53.382507,-62.008724,-45.259558,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w30_d5,nearest,30,-25.216353,-34.686524,-16.465982,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w30_d10,nearest,30,-17.692886,-26.295843,-9.643305,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w100_d0,nearest,30,-58.212014,-67.695892,-48.969313,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w100_d0.25,nearest,30,-54.141015,-63.758309,-44.744078,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w100_d0.5,nearest,30,-51.994571,-61.710595,-42.444623,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w100_d1,nearest,30,-47.804015,-57.752259,-38.011337,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w100_d2,nearest,30,-40.114810,-50.370112,-29.940000,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w100_d5,nearest,30,-23.518837,-33.967082,-13.033952,a_cheaper
rtt_weighted_vs_best_baseline,0.7,rtt_weighted_w100_d10,nearest,30,-17.918418,-28.023761,-7.520189,a_cheaper
best_rtt_weighted_vs_best_demand_argmax,0.7,rtt_weighted_w10_d0,demand_argmax_w5_d0,30,7.170468,4.907282,9.395234,a_worse
demand_argmax_vs_best_baseline,0.7,demand_argmax_w5_d0,nearest,30,-130.535909,-138.046970,-122.983408,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w5_d0.25,nearest,30,-125.327267,-133.019542,-117.666464,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w5_d0.5,nearest,30,-120.896116,-128.523079,-113.252478,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w5_d1,nearest,30,-111.987561,-119.659124,-104.328028,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w5_d2,nearest,30,-90.044840,-98.164489,-81.838493,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w5_d5,nearest,30,-20.890049,-29.868365,-11.757042,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w5_d10,nearest,30,11.379454,3.581555,19.303176,a_worse
demand_argmax_vs_best_baseline,0.7,demand_argmax_w10_d0,nearest,30,-121.976399,-129.785385,-114.073168,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w10_d0.25,nearest,30,-106.540022,-114.626882,-98.385473,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w10_d0.5,nearest,30,-101.131045,-109.240514,-93.027300,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w10_d1,nearest,30,-90.434132,-98.627913,-82.141697,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w10_d2,nearest,30,-68.277273,-76.717400,-59.731633,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w10_d5,nearest,30,-5.066202,-14.857907,4.822257,not_significant
demand_argmax_vs_best_baseline,0.7,demand_argmax_w10_d10,nearest,30,15.252362,6.579545,23.835384,a_worse
demand_argmax_vs_best_baseline,0.7,demand_argmax_w20_d0,nearest,30,-70.525730,-79.104652,-61.725945,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w20_d0.25,nearest,30,-54.984567,-63.930075,-45.803629,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w20_d0.5,nearest,30,-49.795288,-58.799747,-40.629324,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w20_d1,nearest,30,-39.320618,-48.572241,-29.882888,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w20_d2,nearest,30,-19.846984,-29.473149,-10.102607,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w20_d5,nearest,30,22.462390,12.700986,32.394330,a_worse
demand_argmax_vs_best_baseline,0.7,demand_argmax_w20_d10,nearest,30,18.589714,10.207145,26.892633,a_worse
demand_argmax_vs_best_baseline,0.7,demand_argmax_w30_d0,nearest,30,-24.830450,-34.364932,-15.156527,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w30_d0.25,nearest,30,-12.409411,-22.259010,-2.330873,a_cheaper
demand_argmax_vs_best_baseline,0.7,demand_argmax_w30_d0.5,nearest,30,-8.408139,-18.335556,1.796652,not_significant
demand_argmax_vs_best_baseline,0.7,demand_argmax_w30_d1,nearest,30,-1.084791,-11.047222,9.147053,not_significant
demand_argmax_vs_best_baseline,0.7,demand_argmax_w30_d2,nearest,30,11.222852,1.361292,21.200845,a_worse
demand_argmax_vs_best_baseline,0.7,demand_argmax_w30_d5,nearest,30,25.946115,16.698349,35.493045,a_worse
demand_argmax_vs_best_baseline,0.7,demand_argmax_w30_d10,nearest,30,19.827567,11.198909,28.166182,a_worse
demand_argmax_vs_best_baseline,0.7,demand_argmax_w100_d0,nearest,30,6.215482,-2.614500,15.288076,not_significant
demand_argmax_vs_best_baseline,0.7,demand_argmax_w100_d0.25,nearest,30,8.095424,-0.756412,17.185497,not_significant
demand_argmax_vs_best_baseline,0.7,demand_argmax_w100_d0.5,nearest,30,8.564048,-0.255874,17.618031,not_significant
demand_argmax_vs_best_baseline,0.7,demand_argmax_w100_d1,nearest,30,9.552950,0.710629,18.586076,a_worse
demand_argmax_vs_best_baseline,0.7,demand_argmax_w100_d2,nearest,30,10.632093,1.810647,19.635028,a_worse
demand_argmax_vs_best_baseline,0.7,demand_argmax_w100_d5,nearest,30,11.780564,3.399603,20.380211,a_worse
demand_argmax_vs_best_baseline,0.7,demand_argmax_w100_d10,nearest,30,12.223530,4.514301,20.142806,a_worse
best_demand_argmax_vs_best_baseline,0.7,demand_argmax_w5_d0,nearest,30,-130.535909,-138.046970,-122.983408,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w5_d0,nearest,30,-69.105155,-76.970164,-61.677534,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w5_d0.25,nearest,30,-86.248121,-93.644416,-79.071110,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w5_d0.5,nearest,30,-84.110387,-91.610882,-76.881438,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w5_d1,nearest,30,-75.532232,-83.004129,-68.320605,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w5_d2,nearest,30,-49.052893,-57.205550,-41.229095,a_cheaper
