comparison,n_seeds,mean_diff,std_diff,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_significant,paired_t_stat,paired_t_p_normal_approx
interaction_aware_w10 - static,30,-0.565231,1.213434,-1.007709,-0.151390,True,-2.551355,0.010730
interaction_aware_w10 - nearest_h0,30,-1.050681,1.525869,-1.596179,-0.535380,True,-3.771500,0.000162
