phase_duration,policy_id,mean_latency_ms_mean,mean_latency_ms_std,p95_latency_ms_mean,p95_latency_ms_std,migration_count_mean,migration_count_std,max_requests_per_peer_mean,max_requests_per_peer_std,request_imbalance_mean,request_imbalance_std
10.0,engagement_g00_d2.0,65.228867,5.721511,191.206432,6.126493,149.600000,0.547723,196.000000,19.557607,1.303258,0.139687
10.0,engagement_g00_d5.0,90.589815,8.515764,191.711228,6.075443,148.400000,1.140175,203.400000,11.013628,1.352048,0.079302
10.0,engagement_g05_d0.0,44.085523,4.120585,173.854060,9.202504,151.400000,1.516575,194.600000,15.453155,1.294423,0.119464
10.0,engagement_g05_d0.25,50.149610,4.906500,178.208143,11.378967,150.000000,0.707107,194.600000,14.205633,1.294262,0.110536
10.0,engagement_g05_d0.5,52.331742,4.963942,180.393434,9.488538,149.800000,0.447214,195.400000,15.469324,1.299634,0.118815
10.0,engagement_g05_d1.0,56.466415,5.139819,184.335183,7.645110,149.800000,0.447214,191.400000,16.257306,1.272821,0.120540
10.0,engagement_g05_d10.0,107.412553,5.216195,191.408882,4.863994,48.200000,7.049823,377.600000,76.254836,2.513816,0.538134
10.0,engagement_g05_d2.0,65.174876,5.831168,191.206432,6.126493,149.400000,0.547723,196.000000,19.557607,1.303258,0.139687
10.0,engagement_g05_d5.0,90.419722,8.581711,191.711228,6.075443,147.400000,0.894427,203.400000,11.013628,1.352048,0.079302
10.0,naive_target_aware,43.181556,3.899503,173.628919,9.274870,152.600000,1.673320,194.400000,15.453155,1.292947,0.117792
10.0,nearest,94.628603,5.162581,186.414457,6.469487,9.000000,8.972179,848.400000,312.610460,5.625803,2.027862
10.0,oracle_a1,9.853679,0.860522,53.852790,6.482988,630.800000,38.738869,220.200000,24.600813,1.462387,0.151382
10.0,static,97.494506,4.105796,190.006144,3.069778,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
20.0,engagement_g00_d0.0,29.659360,2.409533,160.695144,9.654594,76.800000,2.049390,206.600000,12.421755,1.373546,0.092317
20.0,engagement_g00_d0.25,33.045490,2.775649,164.863368,11.398344,75.400000,0.547723,204.400000,15.404545,1.359087,0.113055
20.0,engagement_g00_d0.5,34.077938,2.915779,165.507013,11.067377,75.200000,0.447214,204.200000,14.822281,1.357829,0.110486
20.0,engagement_g00_d1.0,36.073679,2.931326,167.032236,9.294885,75.000000,0.000000,203.200000,14.549914,1.350990,0.105660
20.0,engagement_g00_d10.0,75.952955,7.388045,191.602200,6.204694,74.800000,0.447214,218.800000,18.047160,1.454681,0.128964
20.0,engagement_g00_d2.0,40.410753,3.350866,171.804057,10.514430,74.800000,0.447214,203.000000,12.083046,1.349686,0.090805
20.0,engagement_g00_d5.0,53.630853,4.855954,181.019266,11.841310,74.800000,0.447214,204.400000,8.648699,1.358847,0.068589
20.0,engagement_g05_d0.0,30.147663,2.545537,161.460353,9.910866,76.200000,1.303840,208.000000,11.618950,1.382937,0.089016
20.0,engagement_g05_d0.25,33.132892,2.793095,164.863368,11.398344,75.200000,0.447214,204.400000,15.355781,1.359038,0.112117
20.0,engagement_g05_d0.5,34.167506,2.977287,165.608799,11.033626,75.000000,0.000000,203.800000,15.056560,1.355078,0.110636
20.0,engagement_g05_d1.0,36.104455,2.926969,167.032236,9.294885,75.000000,0.000000,203.400000,14.363147,1.352341,0.104835
20.0,engagement_g05_d10.0,75.955764,7.390591,191.602200,6.204694,74.800000,0.447214,218.800000,18.047160,1.454681,0.128964
20.0,engagement_g05_d2.0,40.410753,3.350866,171.804057,10.514430,74.800000,0.447214,203.000000,12.083046,1.349686,0.090805
20.0,engagement_g05_d5.0,53.630853,4.855954,181.019266,11.841310,74.800000,0.447214,204.400000,8.648699,1.358847,0.068589
20.0,naive_target_aware,29.659360,2.409533,160.695144,9.654594,76.800000,2.049390,206.600000,12.421755,1.373546,0.092317
20.0,nearest,94.642650,3.370941,185.728717,5.894399,9.000000,8.972179,848.400000,312.610460,5.625803,2.027862
20.0,oracle_a1,9.451553,0.688106,54.495982,3.769147,523.200000,23.360223,206.400000,11.104053,1.372070,0.082088
20.0,static,97.873077,4.975063,186.758378,4.804841,0.000000,0.000000,987.000000,341.757224,6.538219,2.203241
40.0,engagement_g00_d0.0,23.431360,2.130522,147.821620,10.153913,41.400000,1.341641,274.000000,43.156691,1.822736,0.304456
40.0,engagement_g00_d0.25,25.256586,2.352435,151.198094,10.986919,40.400000,0.547723,273.600000,43.102204,1.820219,0.305313
40.0,engagement_g00_d0.5,25.772808,2.397816,152.583057,12.493827,40.200000,0.447214,273.800000,42.239792,1.821546,0.299798
40.0,engagement_g00_d1.0,26.884578,2.604156,155.403676,11.419237,40.000000,0.000000,275.400000,42.500588,1.832273,0.302152
40.0,engagement_g00_d10.0,47.862030,5.283189,171.441121,13.019274,39.800000,0.447214,279.400000,33.545492,1.859049,0.247635
40.0,engagement_g00_d2.0,29.167702,2.951817,159.853687,11.665501,39.800000,0.447214,275.400000,42.317845,1.832379,0.301695
40.0,engagement_g00_d5.0,36.071165,3.721132,165.560614,13.032639,39.800000,0.447214,273.600000,34.158454,1.820170,0.247923
40.0,engagement_g05_d0.0,23.699592,2.295250,148.428613,10.699792,41.200000,1.303840,273.200000,43.962484,1.817562,0.310743
40.0,engagement_g05_d0.25,25.342749,2.473273,152.038115,12.549331,40.200000,0.447214,273.200000,43.378566,1.817581,0.307221
40.0,engagement_g05_d0.5,25.867183,2.560821,152.709309,12.730303,40.000000,0.000000,273.400000,42.529989,1.818907,0.301788
40.0,engagement_g05_d1.0,26.917988,2.671378,155.403676,11.419237,40.000000,0.000000,275.400000,42.500588,1.832273,0.302152
40.0,engagement_g05_d10.0,47.865443,5.282736,171.441121,13.019274,39.800000,0.447214,279.400000,33.545492,1.859049,0.247635
40.0,engagement_g05_d2.0,29.167702,2.951817,159.853687,11.665501,39.800000,0.447214,275.400000,42.317845,1.832379,0.301695
40.0,engagement_g05_d5.0,36.071165,3.721132,165.560614,13.032639,39.800000,0.447214,273.600000,34.158454,1.820170,0.247923
40.0,naive_target_aware,23.431360,2.130522,147.821620,10.153913,41.400000,1.341641,274.000000,43.156691,1.822736,0.304456
40.0,nearest,91.709875,6.787839,179.164839,11.393643,9.000000,8.972179,848.400000,312.610460,5.625803,2.027862
