phase_duration,seed,policy_id,total_requests,mean_latency_ms,p95_latency_ms,migration_count,max_requests_per_peer,request_imbalance
2.0,4,engagement_g05_d10.0,2947,101.624062,193.697416,0,606,4.112657
2.0,4,oracle_a1,2947,11.777958,43.378507,1287,308,2.090261
2.0,5,static,2961,101.713981,188.688177,0,1225,8.274232
2.0,5,nearest,2961,100.831380,187.743898,6,626,4.228301
2.0,5,naive_target_aware,2961,97.121164,188.400644,500,193,1.303614
2.0,5,engagement_g00_d0.0,2961,97.121164,188.400644,500,193,1.303614
2.0,5,engagement_g00_d0.25,2961,102.358016,188.400644,439,196,1.323877
2.0,5,engagement_g00_d0.5,2961,103.404188,187.323161,417,204,1.377913
2.0,5,engagement_g00_d1.0,2961,104.392091,187.323161,383,202,1.364404
2.0,5,engagement_g00_d2.0,2961,102.962087,188.400644,269,214,1.445458
2.0,5,engagement_g00_d5.0,2961,102.085922,196.075920,51,488,3.296184
2.0,5,engagement_g00_d10.0,2961,101.713981,188.688177,0,1225,8.274232
2.0,5,engagement_g05_d0.0,2961,100.343381,196.075920,189,282,1.904762
2.0,5,engagement_g05_d0.25,2961,102.217653,196.075920,187,281,1.898007
2.0,5,engagement_g05_d0.5,2961,103.064588,196.075920,185,281,1.898007
2.0,5,engagement_g05_d1.0,2961,103.493080,196.075920,182,300,2.026342
2.0,5,engagement_g05_d2.0,2961,105.086783,192.376458,128,269,1.816954
2.0,5,engagement_g05_d5.0,2961,105.132765,196.075920,8,487,3.289429
2.0,5,engagement_g05_d10.0,2961,101.713981,188.688177,0,1225,8.274232
2.0,5,oracle_a1,2961,12.986179,52.998745,1161,315,2.127660
5.0,1,static,3072,94.849010,184.634696,0,1224,7.968750
5.0,1,nearest,3072,98.738097,193.824434,25,629,4.095052
5.0,1,naive_target_aware,3072,57.249813,184.634696,302,180,1.171875
5.0,1,engagement_g00_d0.0,3072,57.249813,184.634696,302,180,1.171875
5.0,1,engagement_g00_d0.25,3072,67.386775,184.634696,297,179,1.165365
5.0,1,engagement_g00_d0.5,3072,70.944581,184.634696,295,178,1.158854
5.0,1,engagement_g00_d1.0,3072,77.319583,184.634696,292,178,1.158854
5.0,1,engagement_g00_d2.0,3072,87.611646,186.528726,280,191,1.243490
5.0,1,engagement_g00_d5.0,3072,101.629246,192.868599,115,234,1.523438
5.0,1,engagement_g00_d10.0,3072,94.849010,184.634696,0,1224,7.968750
5.0,1,engagement_g05_d0.0,3072,59.702717,184.634696,281,203,1.321615
5.0,1,engagement_g05_d0.25,3072,68.237624,184.634696,279,200,1.302083
5.0,1,engagement_g05_d0.5,3072,71.584759,184.634696,279,196,1.276042
5.0,1,engagement_g05_d1.0,3072,77.555837,184.831725,278,198,1.289062
5.0,1,engagement_g05_d2.0,3072,88.399154,192.868599,267,205,1.334635
5.0,1,engagement_g05_d5.0,3072,100.112850,192.868599,99,267,1.738281
5.0,1,engagement_g05_d10.0,3072,94.849010,184.634696,0,1224,7.968750
5.0,1,oracle_a1,3072,9.293268,48.235080,829,239,1.555990
5.0,2,static,3076,99.242867,184.757355,0,1260,8.192458
5.0,2,nearest,3076,91.931045,191.478106,5,1206,7.841352
5.0,2,naive_target_aware,3076,71.261144,195.394846,300,173,1.124837
5.0,2,engagement_g00_d0.0,3076,71.261144,195.394846,300,173,1.124837
5.0,2,engagement_g00_d0.25,3076,84.889217,198.371029,291,175,1.137841
5.0,2,engagement_g00_d0.5,3076,88.634264,198.371029,289,180,1.170351
5.0,2,engagement_g00_d1.0,3076,97.672687,198.371029,286,176,1.144343
5.0,2,engagement_g00_d2.0,3076,112.101519,198.371029,279,172,1.118336
5.0,2,engagement_g00_d5.0,3076,114.028477,195.689299,122,261,1.697009
5.0,2,engagement_g00_d10.0,3076,100.762203,187.852690,3,1094,7.113134
5.0,2,engagement_g05_d0.0,3076,73.421051,196.179219,288,177,1.150845
5.0,2,engagement_g05_d0.25,3076,85.333269,198.371029,284,178,1.157347
5.0,2,engagement_g05_d0.5,3076,89.074191,198.371029,283,184,1.196359
5.0,2,engagement_g05_d1.0,3076,97.956573,198.371029,281,170,1.105332
5.0,2,engagement_g05_d2.0,3076,111.878982,198.371029,271,172,1.118336
5.0,2,engagement_g05_d5.0,3076,113.101892,195.394846,102,280,1.820546
5.0,2,engagement_g05_d10.0,3076,100.034546,187.852690,2,1094,7.113134
5.0,2,oracle_a1,3076,9.848736,52.606080,842,245,1.592978
5.0,3,static,2993,98.328617,191.730185,0,620,4.143000
5.0,3,nearest,2993,94.184453,175.873447,5,1175,7.851654
5.0,3,naive_target_aware,2993,67.929437,185.560987,298,171,1.142666
5.0,3,engagement_g00_d0.0,2993,67.929437,185.560987,298,171,1.142666
5.0,3,engagement_g00_d0.25,2993,80.179587,185.560987,292,173,1.156031
5.0,3,engagement_g00_d0.5,2993,84.580504,185.560987,288,167,1.115937
5.0,3,engagement_g00_d1.0,2993,91.079545,185.560987,285,168,1.122619
5.0,3,engagement_g00_d2.0,2993,101.986550,192.273920,274,182,1.216171
5.0,3,engagement_g00_d5.0,2993,108.905328,191.947679,122,259,1.730705
5.0,3,engagement_g00_d10.0,2993,98.574547,191.259772,2,620,4.143000
5.0,3,engagement_g05_d0.0,2993,70.400189,185.560987,278,178,1.189442
5.0,3,engagement_g05_d0.25,2993,80.733941,185.560987,276,175,1.169395
5.0,3,engagement_g05_d0.5,2993,85.166178,188.906630,275,174,1.162713
5.0,3,engagement_g05_d1.0,2993,91.741171,188.906630,274,172,1.149348
5.0,3,engagement_g05_d2.0,2993,102.499293,192.273920,266,182,1.216171
5.0,3,engagement_g05_d5.0,2993,109.541164,191.730185,96,382,2.552623
5.0,3,engagement_g05_d10.0,2993,98.328617,191.730185,0,620,4.143000
5.0,3,oracle_a1,2993,10.018038,53.415273,783,222,1.483461
5.0,4,static,2947,102.447417,193.368367,0,606,4.112657
5.0,4,nearest,2947,97.520657,189.576396,4,606,4.112657
5.0,4,naive_target_aware,2947,70.737448,193.368367,295,171,1.160502
5.0,4,engagement_g00_d0.0,2947,70.737448,193.368367,295,171,1.160502
5.0,4,engagement_g00_d0.25,2947,83.185091,193.368367,293,178,1.208008
5.0,4,engagement_g00_d0.5,2947,86.712830,193.368367,288,181,1.228368
5.0,4,engagement_g00_d1.0,2947,93.277503,193.368367,283,179,1.214795
5.0,4,engagement_g00_d2.0,2947,102.890580,193.368367,272,164,1.112996
5.0,4,engagement_g00_d5.0,2947,110.987558,195.312266,124,276,1.873091
5.0,4,engagement_g00_d10.0,2947,104.565165,193.697416,2,606,4.112657
5.0,4,engagement_g05_d0.0,2947,72.772648,193.368367,277,175,1.187648
5.0,4,engagement_g05_d0.25,2947,83.482534,193.368367,277,178,1.208008
5.0,4,engagement_g05_d0.5,2947,87.109308,193.368367,274,181,1.228368
5.0,4,engagement_g05_d1.0,2947,93.659224,193.368367,273,179,1.214795
5.0,4,engagement_g05_d2.0,2947,103.409527,193.368367,265,167,1.133356
5.0,4,engagement_g05_d5.0,2947,111.030273,194.177976,101,297,2.015609
5.0,4,engagement_g05_d10.0,2947,102.447417,193.368367,0,606,4.112657
5.0,4,oracle_a1,2947,9.997086,44.690357,829,208,1.411605
5.0,5,static,2961,103.529458,187.323161,0,1225,8.274232
5.0,5,nearest,2961,102.352496,187.743898,6,626,4.228301
5.0,5,naive_target_aware,2961,71.316402,196.075920,296,172,1.161770
5.0,5,engagement_g00_d0.0,2961,71.316402,196.075920,296,172,1.161770
5.0,5,engagement_g00_d0.25,2961,83.156952,196.075920,291,167,1.127997
5.0,5,engagement_g00_d0.5,2961,87.766070,196.075920,290,172,1.161770
5.0,5,engagement_g00_d1.0,2961,93.639909,196.075920,288,177,1.195542
5.0,5,engagement_g00_d2.0,2961,102.210104,196.075920,274,184,1.242823
5.0,5,engagement_g00_d5.0,2961,101.459155,180.936103,121,272,1.837217
5.0,5,engagement_g00_d10.0,2961,106.829604,188.688177,3,778,5.254981
5.0,5,engagement_g05_d0.0,2961,73.927739,196.075920,284,175,1.182033
5.0,5,engagement_g05_d0.25,2961,83.499285,196.075920,281,167,1.127997
5.0,5,engagement_g05_d0.5,2961,88.062447,196.075920,281,172,1.161770
5.0,5,engagement_g05_d1.0,2961,93.439621,196.075920,280,177,1.195542
5.0,5,engagement_g05_d2.0,2961,102.141027,196.075920,262,184,1.242823
5.0,5,engagement_g05_d5.0,2961,104.279357,187.743898,87,393,2.654509
5.0,5,engagement_g05_d10.0,2961,103.529458,187.323161,0,1225,8.274232
5.0,5,oracle_a1,2961,11.170728,54.572145,819,247,1.668355
10.0,1,static,3072,92.240291,192.868599,0,1224,7.968750
10.0,1,nearest,3072,95.292062,192.868599,25,629,4.095052
10.0,1,naive_target_aware,3072,37.061402,161.725735,150,181,1.178385
10.0,1,engagement_g00_d0.0,3072,37.061402,161.725735,150,181,1.178385
10.0,1,engagement_g00_d0.25,3072,42.286703,164.319146,150,186,1.210938
10.0,1,engagement_g00_d0.5,3072,44.684462,176.547986,150,186,1.210938
10.0,1,engagement_g00_d1.0,3072,48.474316,180.419762,150,189,1.230469
10.0,1,engagement_g00_d2.0,3072,55.951391,184.634696,150,194,1.263021
10.0,1,engagement_g00_d5.0,3072,76.366469,184.634696,150,204,1.328125
10.0,1,engagement_g00_d10.0,3072,99.613281,184.634696,62,266,1.731771
10.0,1,engagement_g05_d0.0,3072,37.681801,162.396143,149,178,1.158854
10.0,1,engagement_g05_d0.25,3072,42.269208,166.446936,149,185,1.204427
10.0,1,engagement_g05_d0.5,3072,44.532237,176.547986,149,185,1.204427
10.0,1,engagement_g05_d1.0,3072,48.299111,180.419762,149,189,1.230469
10.0,1,engagement_g05_d2.0,3072,55.681435,184.634696,149,194,1.263021
10.0,1,engagement_g05_d5.0,3072,76.033026,184.634696,149,204,1.328125
10.0,1,engagement_g05_d10.0,3072,98.843225,184.634696,53,338,2.200521
10.0,1,oracle_a1,3072,9.513081,55.074067,661,245,1.595052
10.0,2,static,3076,97.711860,187.852690,0,1260,8.192458
10.0,2,nearest,3076,87.885892,188.329955,5,1206,7.841352
10.0,2,naive_target_aware,3076,44.422502,184.839288,152,199,1.293888
10.0,2,engagement_g00_d0.0,3076,44.422502,184.839288,152,199,1.293888
10.0,2,engagement_g00_d0.25,3076,52.152182,195.394846,150,196,1.274382
10.0,2,engagement_g00_d0.5,3076,54.042589,195.394846,150,197,1.280884
10.0,2,engagement_g00_d1.0,3076,58.637119,195.394846,150,191,1.241873
10.0,2,engagement_g00_d2.0,3076,68.389769,198.371029,149,200,1.300390
10.0,2,engagement_g00_d5.0,3076,95.308878,198.371029,148,209,1.358908
10.0,2,engagement_g00_d10.0,3076,111.132834,191.478106,59,352,2.288687
10.0,2,engagement_g05_d0.0,3076,45.005687,185.294586,152,199,1.293888
