phase_duration,policy_id,total_requests_mean,total_requests_std,self_service_count_mean,self_service_count_std,self_service_rate_mean,self_service_rate_std,mean_rtt_remote_ms_mean,mean_rtt_remote_ms_std,mean_rtt_all_ms_mean,mean_rtt_all_ms_std,measured_mean_latency_ms_mean,measured_mean_latency_ms_std,predicted_mean_latency_ms_mean,predicted_mean_latency_ms_std,abs_error_ms_mean,abs_error_ms_std,rel_error_mean,rel_error_std
5.0,engagement_g00_d5.0,3009.800000,60.948339,29.400000,6.655825,0.009783,0.002302,106.435734,5.524284,105.401953,5.649525,107.401953,5.649525,107.401953,5.649525,0.000000,0.000000,0.000000,0.000000
5.0,engagement_g05_d0.0,3009.800000,60.948339,1085.000000,58.813264,0.360299,0.012495,106.337728,8.677346,68.044869,5.937222,70.044869,5.937222,70.044869,5.937222,0.000000,0.000000,0.000000,0.000000
5.0,engagement_g05_d0.25,3009.800000,60.948339,802.600000,41.967845,0.266527,0.008592,106.659396,8.941790,78.257331,6.916969,80.257331,6.916969,80.257331,6.916969,0.000000,0.000000,0.000000,0.000000
5.0,engagement_g05_d0.5,3009.800000,60.948339,696.200000,45.784277,0.231155,0.010869,106.873466,8.767983,82.199377,7.197536,84.199377,7.197536,84.199377,7.197536,0.000000,0.000000,0.000000,0.000000
5.0,engagement_g05_d1.0,3009.800000,60.948339,512.800000,27.985711,0.170307,0.006682,107.082231,8.977948,88.870485,7.788262,90.870485,7.788262,90.870485,7.788262,0.000000,0.000000,0.000000,0.000000
5.0,engagement_g05_d10.0,3009.800000,60.948339,141.000000,12.247449,0.046857,0.004100,102.643417,3.443414,97.837810,3.451188,99.837810,3.451188,99.837810,3.451188,0.000000,0.000000,0.000000,0.000000
5.0,engagement_g05_d2.0,3009.800000,60.948339,214.200000,29.218145,0.071180,0.009680,107.260608,8.378400,99.665597,8.430215,101.665597,8.430215,101.665597,8.430215,0.000000,0.000000,0.000000,0.000000
5.0,engagement_g05_d5.0,3009.800000,60.948339,30.000000,7.000000,0.009989,0.002453,106.674398,5.248212,105.613107,5.312460,107.613107,5.312460,107.613107,5.312460,0.000000,0.000000,0.000000,0.000000
5.0,naive_target_aware,3009.800000,60.948339,1145.600000,52.386067,0.380470,0.009815,106.015988,9.217211,65.698849,6.005107,67.698849,6.005107,67.698849,6.005107,0.000000,0.000000,0.000000,0.000000
5.0,nearest,3009.800000,60.948339,141.800000,13.026895,0.047111,0.004145,99.639478,4.239797,94.945350,4.048085,96.945350,4.048085,96.945350,4.048085,0.000000,0.000000,0.000000,0.000000
